ID, NUMBER, BIN, HEX
1, 7116776.0, 11011001001011111101000, 6C97E8
2, 1666340.0, 110010110110100100100, 196D24
3, 8886983.0, 100001111001101011000111, 879AC7
4, 839365.0, 11001100111011000101, CCEC5
5, 924280.0, 11100001101001111000, E1A78
6, 1026310.0, 11111010100100000110, FA906
7, 1615293.0, 110001010010110111101, 18A5BD
8, 1063875.0, 100000011101111000011, 103BC3
9, 679035.0, 10100101110001111011, A5C7B
10, 5201970.0, 10011110110000000110010, 4F6032
11, 593979.0, 10010001000000111011, 9103B
12, 801371.0, 11000011101001011011, C3A5B
13, 3796878.0, 1110011110111110001110, 39EF8E
14, 7489201.0, 11100100100011010110001, 7246B1
15, 9740020.0, 100101001001111011110100, 949EF4
16, 9128737.0, 100010110100101100100001, 8B4B21
17, 5473463.0, 10100111000010010110111, 5384B7
18, 8701957.0, 100001001100100000000101, 84C805
19, 8238050.0, 11111011011001111100010, 7DB3E2
20, 8679038.0, 100001000110111001111110, 846E7E
21, 385912.0, 1011110001101111000, 5E378
22, 5867340.0, 10110011000011101001100, 59874C
23, 4894542.0, 10010101010111101001110, 4AAF4E
24, 8999451.0, 100010010101001000011011, 89521B
25, 4392535.0, 10000110000011001010111, 430657
26, 2078131.0, 111111011010110110011, 1FB5B3
27, 3070124.0, 1011101101100010101100, 2ED8AC
28, 7451998.0, 11100011011010101011110, 71B55E
29, 5635510.0, 10101011111110110110110, 55FDB6
30, 1233932.0, 100101101010000001100, 12D40C
31, 6089867.0, 10111001110110010001011, 5CEC8B
32, 1792316.0, 110110101100100111100, 1B593C
33, 6298637.0, 11000000001110000001101, 601C0D
34, 2408038.0, 1001001011111001100110, 24BE66
35, 8510100.0, 100000011101101010010100, 81DA94
36, 991581.0, 11110010000101011101, F215D
37, 6455739.0, 11000101000000110111011, 6281BB
38, 7829175.0, 11101110111011010110111, 7776B7
39, 6328931.0, 11000001001001001100011, 609263
40, 9982305.0, 100110000101000101100001, 985161
41, 2292022.0, 1000101111100100110110, 22F936
42, 1070496.0, 100000101010110100000, 1055A0
43, 8518360.0, 100000011111101011011000, 81FAD8
44, 6378470.0, 11000010101001111100110, 6153E6
45, 7756258.0, 11101100101100111100010, 7659E2
46, 7111767.0, 11011001000010001010111, 6C8457
47, 2685897.0, 1010001111101111001001, 28FBC9
48, 617946.0, 10010110110111011010, 96DDA
49, 246280.0, 111100001000001000, 3C208
